mac,device,source
44:65:0d:56:cc:d3,Amazon Echo,official_unsw_di
40:f3:08:ff:1e:da,Android Phone,official_unsw_di
b4:ce:f6:a7:a3:c2,Android Phone,official_unsw_di
e0:76:d0:3f:00:ae,August Doorbell Cam,kostas_unsw
70:88:6b:10:0f:c6,Awair air quality monitor,kostas_unsw
b4:75:0e:ec:e5:a9,Belkin Camera,kostas_unsw
ec:1a:59:83:28:11,Belkin wemo motion sensor,official_unsw_di
ec:1a:59:79:f4:89,Belkin Wemo switch,official_unsw_di
74:6a:89:00:2e:25,Blipcare Blood Pressure meter,official_unsw_di
7c:70:bc:5d:5e:dc,Canary Camera,kostas_unsw
30:8c:fb:2f:e4:b2,Dropcam,official_unsw_di
6c:ad:f8:5e:e4:61,Google Chromecast,kostas_unsw
28:c2:dd:ff:a5:2d,Hello Barbie,kostas_unsw
70:5a:0f:e4:9b:c0,HP Printer,official_unsw_di
74:c6:3b:29:d7:1d,iHome,official_unsw_di
00:62:6e:51:27:2e,Insteon Camera,official_unsw_di
d0:a6:37:df:a1:e1,IPhone,official_unsw_di
74:2f:68:81:69:42,Laptop,official_unsw_di
d0:73:d5:01:83:08,Light Bulbs LiFX Smart Bulb,official_unsw_di
ac:bc:32:d4:6f:2f,MacBook,official_unsw_di
f4:5c:89:93:cc:85,MacBook/Iphone,official_unsw_di
30:8c:fb:b6:ea:45,Nest Dropcam,official_unsw_di
18:b4:30:25:be:e4,NEST Protect smoke alarm,official_unsw_di
70:ee:50:03:b8:ac,Netatmo weather station,official_unsw_di
70:ee:50:18:34:43,Netatmo Welcome,official_unsw_di
00:17:88:2b:9a:25,Phillip Hue Lightbulb,kostas_unsw
e0:76:d0:33:bb:85,PIX-STAR Photo-frame,official_unsw_di
88:4a:ea:31:66:9d,Ring Door Bell,kostas_unsw
08:21:ef:3b:fc:e3,Samsung Galaxy Tab,official_unsw_di
00:16:6c:ab:6b:88,Samsung SmartCam,official_unsw_di
d0:52:a8:00:67:5e,Smart Things,official_unsw_di
f4:f2:6d:93:51:f1,TP-Link Day Night Cloud camera,official_unsw_di
50:c7:bf:00:56:39,TP-Link Smart plug,official_unsw_di
14:cc:20:51:33:ea,TPLink Router Bridge LAN (Gateway),official_unsw_di
18:b7:9e:02:20:44,Triby Speaker,official_unsw_di
e8:ab:fa:19:de:4f,unknown maybe cam,kostas_unsw
00:24:e4:20:28:c6,Withings Aura smart sleep sensor,official_unsw_di
00:24:e4:10:ee:4c,Withings Baby Monitor 2,kostas_unsw
00:24:e4:11:18:a8,Withings Smart Baby Monitor,official_unsw_di
00:24:e4:1b:6f:96,Withings Smart scale,official_unsw_di
