device,canonical_device,set_name
Android Phone 1,Android Phone 1,di_only
Android Phone 2,Android Phone 2,di_only
Blipcare Blood Pressure meter,Blipcare Blood Pressure meter,di_only
Google Chromecast,Google Chromecast,di_only
IPhone,IPhone,di_only
Insteon Camera,Insteon Camera,di_only
Laptop,Laptop,di_only
MacBook-Iphone,MacBook-Iphone,di_only
Nest Dropcam,Nest Dropcam,di_only
Prssr meter,Prssr meter,di_only
Smart Sleep Snsr,Smart Sleep Snsr,di_only
Withings Aura smart sleep sensor,Withings Aura smart sleep sensor,di_only
Withings Baby Monitor 2,Withings Baby Monitor 2,di_only
Withings Smart Baby Monitor,Withings Smart Baby Monitor,di_only
Withings Smart scale,Withings Smart scale,di_only
unknown maybe cam,unknown maybe cam,di_only
