,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,15642,12,0,0,0,20,12,0,0,2,862,1,0,0,2,0,0,0,3,0,34,3,8,0,1,0,0,0,0
Android Phone,0,708,0,0,1,0,1,28,2,14,1,5,44,0,1,0,0,0,118,1,6,15,0,23,1,3,0,1,3
Belkin Wemo switch,0,4,5475,24,0,0,608,6,0,0,7,0,0,0,0,0,0,0,1,2,4,1047,0,5163,0,0,0,0,0
Belkin wemo motion sensor,0,7,1582,18065,0,1,574,1,0,2,0,0,0,0,0,0,0,0,2,5,0,1115,0,5166,1,0,0,0,0
Blipcare Blood Pressure meter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,0,0,0,0,0,113,0,0,0,0,1,0,0,0,6,0,0,0,0,1,4,0,0,0,0,0,0,0,0
HP Printer,0,5,3,0,0,0,2033,16,0,7,0,1,0,0,0,0,0,2,4,12,0,3206,0,11994,0,19,0,0,6
IPhone,0,3,0,0,0,0,0,41,0,2,0,2,4,0,0,0,1,0,2,0,1,2,0,4,0,0,1,1,1
Insteon Camera,2,2,0,0,0,3,2,1,13882,0,0,0,1,1,0,0,68,0,7,2,0,3,0,0,0,1,0,1,0
Laptop,3,277,3,0,0,1,92,101,3,7667,3,51,344,0,1,5,2,4,290,5,15,304,0,669,3,2,3,0,14
Light Bulbs LiFX Smart Bulb,74,0,0,0,0,2,0,7,0,0,1831,0,0,0,33,0,0,0,0,0,1085,1,65,2,0,4,0,0,1
MacBook,3,298,0,0,1,1,22,242,7,163,8,15230,334,0,0,4,0,74,101,3,8,29,1,104,14,11,9,0,7
MacBook/Iphone,0,5,0,0,0,0,0,2,0,7,0,9,70,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
NEST Protect smoke alarm,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Nest Dropcam,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Netatmo Welcome,2,23,0,0,0,0,623,6,1,1,1,1,6,0,5,3253,3,0,12,0,377,0,0,4928,0,0,0,0,8
Netatmo weather station,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0
PIX-STAR Photo-frame,0,2,0,0,0,13,88,0,0,7,0,2,2,0,0,0,0,1796,0,0,0,0,0,703,0,0,0,0,0
Samsung Galaxy Tab,14,914,0,2,2,1,4,47,20,334,15,31,129,0,2,10,19,2,7238,2,10,84,1,99,71,3,4,0,9
Samsung SmartCam,0,18,1,0,0,23,795,6,1,3,2,1,5,0,4,0,1,0,48,9941,10,3363,1,4169,1,1,0,0,1
Smart Things,5,0,0,0,0,0,0,2,0,0,103,0,0,0,46,0,0,0,0,0,1244,1,11,0,0,0,0,5,0
TP-Link Day Night Cloud camera,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,3,3,1,0,3156,15,1,0,0,0,2,0
TP-Link Smart plug,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,1,2,1,24,7,1291,0,0,0,0,0,0
TPLink Router Bridge LAN (Gateway),1,5,0,13,0,0,1782,8,2,2,3,7,0,0,0,1,0,0,3,2,4,1065,4,19224,1,2,40,0,14
Triby Speaker,1,1,0,1,0,0,0,0,0,1,2,1,1,0,2,0,0,1,0,0,24,0,1,0,1901,0,0,0,0
Withings Aura smart sleep sensor,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1414,1,132,0
Withings Smart Baby Monitor,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,2300,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,19,0
iHome,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,40,0,0,0,0,125
