,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,8808,100,0,83,7,21,0,23,4,19,104,0,0,0,2,0,0,3502,276,5,3459,80,0,0,0,56,9,14,30
Android Phone,18,384,2,5,21,1,14,31,1,36,36,4,65,4,1,21,6,13,163,15,32,17,2,29,12,8,18,0,17
Belkin Wemo switch,0,5,5245,15,0,0,615,3,2,11,0,0,0,4,0,4,0,0,3,0,10,1051,0,5182,0,185,0,1,5
Belkin wemo motion sensor,0,30,2916,16468,0,0,585,0,4,9,2,2,0,4,0,2,2,1,1,1,0,1116,0,5182,0,188,0,0,8
Blipcare Blood Pressure meter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,0,0,0,0,4,110,0,0,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0
HP Printer,0,9,0,0,6,18,1973,1,0,13,2,0,0,0,4,2,0,3,0,6,0,3205,0,12010,0,7,6,1,42
IPhone,1,0,0,0,0,0,1,24,0,0,1,1,5,5,0,1,0,3,0,0,3,3,4,6,0,6,0,0,1
Insteon Camera,255,3,0,0,131,400,208,2,6526,5,4653,0,1,15,4,1,36,2,18,5,0,1501,0,0,14,0,2,190,4
Laptop,152,513,243,171,25,3,113,163,14,4502,122,58,1070,16,12,23,5,132,275,245,81,367,50,685,17,435,254,3,113
Light Bulbs LiFX Smart Bulb,2,0,0,0,2,1,0,0,1,0,1436,0,1,0,2,0,0,6,0,0,1587,0,16,37,0,0,12,1,1
MacBook,88,181,7,2,30,6,14,196,2,250,99,14233,715,6,39,8,0,144,197,8,75,26,8,110,4,96,102,2,26
MacBook/Iphone,1,12,4,0,1,0,0,4,0,1,0,3,57,0,0,0,0,3,6,4,0,0,0,0,1,1,0,0,0
NEST Protect smoke alarm,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0
Nest Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,7,0,0,0,0,1,0,0,0
Netatmo Welcome,36,31,0,0,103,24,631,1,4,0,28,0,5,9,2,2866,0,12,16,0,392,0,6,4947,4,11,55,3,64
Netatmo weather station,0,0,0,0,51,0,0,0,0,1,121,0,0,11,1,0,1079,0,0,0,1,0,0,0,0,0,0,67,0
PIX-STAR Photo-frame,1,10,0,0,1,13,88,0,0,3,1,0,0,0,0,0,0,1481,0,0,0,0,0,703,15,0,294,0,3
Samsung Galaxy Tab,30,1141,4,154,54,14,41,353,24,210,109,36,710,113,35,104,24,126,4565,196,65,205,18,342,67,66,140,24,97
Samsung SmartCam,42,7,2277,52,30,15,810,2,0,7,0,0,0,2,1,0,8,2,48,4465,742,3372,354,4193,150,20,1776,0,20
Smart Things,1,0,0,0,16,1,0,1,0,0,157,0,0,0,0,0,0,0,0,0,1235,0,1,0,0,0,0,5,0
TP-Link Day Night Cloud camera,0,0,0,1,15,2,0,139,0,1,3,0,0,0,0,0,0,9,1,1,0,2888,112,5,1,0,5,0,2
TP-Link Smart plug,0,0,0,0,7,1,0,0,3,0,15,0,0,0,0,1,0,0,0,0,181,0,1118,1,0,0,8,1,0
TPLink Router Bridge LAN (Gateway),239,3,27,27,6,113,1800,101,2,19,139,11,0,11,1,107,8,38,6,151,6,1067,117,17873,30,4,15,136,126
Triby Speaker,0,1,0,0,3,17,0,0,1,0,87,2,4,0,0,8,1,452,1,0,34,0,11,1,1305,3,0,0,6
Withings Aura smart sleep sensor,1,0,0,0,185,12,0,0,0,2,1,2,1,0,0,0,0,531,1,1,1,2,0,0,0,751,65,0,1
Withings Smart Baby Monitor,0,0,0,0,378,0,0,0,0,0,18,0,0,0,0,0,0,692,0,107,2,0,11,1,0,121,983,0,0
Withings Smart scale,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,17,0
iHome,2,0,0,0,0,3,0,0,0,1,7,0,0,2,1,3,2,1,1,0,0,5,0,45,0,0,0,2,99
