,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,15899,0,0,0,0,20,0,0,0,3,577,1,0,0,1,0,0,0,4,0,86,3,8,0,0,0,0,0,0
Android Phone,0,605,0,0,0,0,4,11,1,57,1,22,6,0,1,3,1,0,210,3,6,13,0,27,1,3,0,0,1
Belkin Wemo switch,4,2,5491,209,0,0,153,0,0,10,2,1,0,0,0,93,1,32,2,88,4,1047,0,5202,0,0,0,0,0
Belkin wemo motion sensor,0,3,1479,18363,0,0,105,0,0,19,0,1,0,0,0,83,0,34,8,103,0,1115,0,5208,0,0,0,0,0
Blipcare Blood Pressure meter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,0,0,0,0,0,114,0,0,0,0,1,0,0,0,5,0,0,0,0,1,4,0,0,0,0,0,0,0,0
HP Printer,0,0,88,42,0,0,1688,2,0,24,0,5,0,0,0,62,0,21,7,93,0,3205,0,12053,0,18,0,0,0
IPhone,0,0,0,0,0,0,0,25,0,7,1,24,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,1
Insteon Camera,1,4,0,0,0,2,0,0,13889,1,0,1,1,0,0,0,46,0,26,1,0,2,0,1,0,1,0,0,0
Laptop,2,51,6,6,0,0,19,13,2,8434,2,117,61,0,0,7,3,2,158,11,0,300,0,666,1,1,0,0,0
Light Bulbs LiFX Smart Bulb,102,1,0,0,0,4,0,5,0,0,1834,2,0,0,31,0,0,0,1,1,1089,0,33,2,0,0,0,0,0
MacBook,2,29,1,3,0,0,5,65,4,174,4,16039,65,0,0,2,0,48,75,6,2,26,0,110,4,5,1,0,4
MacBook/Iphone,0,2,0,0,0,0,0,2,0,14,0,20,51,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
NEST Protect smoke alarm,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nest Dropcam,0,0,0,0,0,1,0,0,0,1,1,0,0,0,7,0,0,0,1,0,3,0,1,0,0,0,0,0,0
Netatmo Welcome,2,9,63,24,0,0,88,5,1,12,0,3,0,0,5,3378,1,9,8,58,378,0,0,5199,0,0,0,0,7
Netatmo weather station,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,1303,0,5,0,0,0,0,0,0,0,0,0,0
PIX-STAR Photo-frame,0,2,16,19,0,13,24,0,0,5,0,6,0,0,0,12,0,1809,1,3,0,0,0,703,0,0,0,0,0
Samsung Galaxy Tab,15,296,1,3,0,0,1,111,24,208,10,39,13,0,0,2,17,0,8090,6,7,50,0,108,63,2,0,0,1
Samsung SmartCam,0,1,104,55,0,16,167,0,1,18,1,1,0,0,4,91,0,9,53,10299,10,3361,2,4201,0,1,0,0,0
Smart Things,8,2,0,0,0,4,0,2,0,0,106,1,0,0,46,0,0,0,1,0,1229,0,13,0,0,0,0,5,0
TP-Link Day Night Cloud camera,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,2,7,1,0,3156,13,1,0,0,0,0,0
TP-Link Smart plug,1,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,2,0,25,7,1287,1,0,0,0,0,0
TPLink Router Bridge LAN (Gateway),0,1,0,0,0,0,5,0,1,4,0,1,0,0,0,71,0,0,12,0,4,1065,0,20987,1,0,31,0,0
Triby Speaker,3,3,0,0,0,0,0,0,0,3,1,2,0,0,2,0,0,0,5,0,24,0,1,4,1889,0,0,0,0
Withings Aura smart sleep sensor,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,2,1,1417,1,129,0
Withings Smart Baby Monitor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,2307,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,18,0
iHome,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,2,0,1,1,0,1,0,41,0,0,0,0,120
