feature,importance_mean,importance_std
application_name,0.016658448384887455,0.0020227679239700463
application_category_name,0.010988260640959174,0.0014662503945678024
dst_port,0.004787690772258954,0.0011509675778362588
src2dst_ack_packets,0.00234385942831366,0.0006670831307025306
src2dst_packets,0.002213583564147789,0.0009247471617238441
src2dst_mean_ps,0.002134567173989116,0.0010913318386164834
bidirectional_mean_piat_ms,0.002056954934722255,0.0006814309853423831
bidirectional_fin_packets,0.0020269790833576814,0.0006783868118716294
src2dst_fin_packets,0.002022390635803278,0.0006790423433061343
dst2src_bytes,0.0019358038994229069,0.000684300100062824
dst2src_mean_ps,0.001870900312927963,0.0009323743374300277
dst2src_packets,0.0018056814832108081,0.0009140471246654702
dst2src_max_ps,0.0017022581183832887,0.000924178168584721
src2dst_min_piat_ms,0.0016923898822230824,0.0009188227402578314
bidirectional_bytes,0.0014464564218306503,0.001138663255307484
application_confidence,0.0013462365826051891,0.0011201349654708919
src2dst_max_ps,0.0011302581883442,0.0013086595166036364
bidirectional_mean_ps,0.0005580238893834848,0.0013395133948726223
bidirectional_max_ps,0.0005227513949274031,0.0009037650465707156
src2dst_stddev_ps,0.0004619502848724977,2.9916984290688126e-05
bidirectional_max_piat_ms,0.0003386997761022602,8.181378745303453e-05
src2dst_bytes,0.0002900044169257349,4.621225742381278e-05
bidirectional_stddev_ps,0.0002881259595866485,5.980352810524344e-05
src2dst_psh_packets,0.0002328347001293994,0.0006855171585365376
bidirectional_psh_packets,0.0001808019888398467,4.520142473775417e-05
bidirectional_min_piat_ms,8.784649575908077e-05,4.581490067432637e-05
dst2src_min_piat_ms,7.951171407223692e-05,9.722712946836551e-06
dst2src_mean_piat_ms,6.645833784274733e-05,1.8939722953409363e-05
bidirectional_duration_ms,5.914259185424917e-05,5.4520640751298834e-05
dst2src_rst_packets,5.872796686913345e-05,8.594509955436275e-06
dst2src_duration_ms,4.8762164707995965e-05,1.762995497263524e-05
bidirectional_packets,3.778526521071926e-05,1.4645681624203343e-05
bidirectional_rst_packets,2.654324700161123e-05,5.905320415348623e-06
dst2src_stddev_ps,2.4842391874611154e-05,2.328797170894869e-05
src2dst_min_ps,1.170035305304712e-05,1.6031326293362626e-05
bidirectional_ack_packets,8.37470200845819e-06,2.1160975997896404e-05
dst2src_psh_packets,4.843094391209641e-06,1.3173049666505814e-05
src2dst_rst_packets,3.704839220038808e-06,1.246786527927463e-06
src2dst_duration_ms,3.442718442158571e-06,1.4382207507751036e-05
dst2src_ack_packets,9.27744625406346e-07,1.763669617485767e-05
src2dst_max_piat_ms,7.373515929623431e-07,0.0004202468111193034
dst2src_syn_packets,6.577075705199719e-07,9.759072789380654e-06
bidirectional_cwr_packets,0.0,0.0
dst2src_ece_packets,0.0,0.0
src2dst_ece_packets,0.0,0.0
dst2src_cwr_packets,0.0,0.0
bidirectional_ece_packets,0.0,0.0
src2dst_cwr_packets,0.0,0.0
application_is_guessed,-8.420266001549215e-06,9.367268430932626e-07
protocol,-1.3606731079487955e-05,3.4630280534673544e-06
dst2src_max_piat_ms,-1.5941100615100844e-05,1.2215157987277627e-05
bidirectional_syn_packets,-1.9755476682653537e-05,9.060099417113688e-06
src2dst_syn_packets,-2.3845410236961185e-05,1.3427847162838636e-05
dst2src_fin_packets,-3.0830909654857436e-05,3.324869500846242e-05
dst2src_stddev_piat_ms,-4.962352655202909e-05,8.476139391420703e-06
bidirectional_stddev_piat_ms,-8.403820676093494e-05,6.268094339104424e-05
src2dst_stddev_piat_ms,-0.00011161820086690796,4.2728104553271045e-05
src2dst_mean_piat_ms,-0.0001473638844160484,2.5271640281679058e-05
dst2src_min_ps,-0.00018949162807533267,2.5061955021752475e-05
bidirectional_min_ps,-0.00023488504125647943,0.00041586139508378834
