feature,importance_mean,importance_std
application_name,0.0287122692599305,0.0008613757017227369
bidirectional_stddev_piat_ms,0.002534470810816214,0.0004779481748340208
src2dst_min_piat_ms,0.0023495815608590266,0.00037041395519135585
dst_port,0.002203028795369444,0.000680509052781794
src2dst_stddev_piat_ms,0.00210130031598571,3.748244851052488e-05
src2dst_max_piat_ms,0.0013170805584753365,0.0002676620901656025
src2dst_duration_ms,0.0006995122918338703,6.709405218888743e-05
src2dst_bytes,0.000683653177791299,0.00031047284875663193
dst2src_stddev_piat_ms,0.0006150589764463809,0.00011706913421092428
src2dst_stddev_ps,0.0004777612595914249,0.00020487514646378227
dst2src_duration_ms,0.0003351093969415353,0.00012489930584123072
bidirectional_packets,0.0003104972056228505,0.0001799244706937575
dst2src_max_piat_ms,0.00030345950828174483,0.00016479567620166326
src2dst_mean_piat_ms,0.0002891881093509463,0.0003879345474352401
application_is_guessed,6.829371497126812e-05,0.0001304550983622028
dst2src_min_piat_ms,3.724298247946845e-05,0.00010520068754173594
dst2src_syn_packets,2.3886757420399364e-05,8.327548266467067e-05
dst2src_stddev_ps,1.9943231042518493e-05,0.00010730951369067798
bidirectional_rst_packets,1.769638937431095e-05,3.669576795016465e-05
dst2src_psh_packets,1.644300614842553e-05,4.570138430098723e-05
bidirectional_syn_packets,9.631609840643485e-06,2.3149804887798194e-05
src2dst_psh_packets,6.67999940557884e-06,6.403540807302911e-05
dst2src_fin_packets,8.429606658477695e-07,4.283605454705435e-05
src2dst_cwr_packets,0.0,0.0
dst2src_ece_packets,0.0,0.0
dst2src_cwr_packets,0.0,0.0
bidirectional_cwr_packets,0.0,0.0
src2dst_ece_packets,0.0,0.0
bidirectional_ece_packets,-8.74754424640134e-07,2.6242632739204018e-06
src2dst_rst_packets,-8.74754424640134e-07,2.624263273920402e-06
src2dst_syn_packets,-1.616999296576438e-05,4.3303612431813964e-05
dst2src_mean_piat_ms,-1.7834571671160316e-05,2.411322465225337e-05
dst2src_rst_packets,-3.706971906646262e-05,4.239478091081997e-05
src2dst_ack_packets,-3.9173690456151264e-05,6.06484376534939e-05
bidirectional_psh_packets,-4.076456851402899e-05,4.669262436794148e-05
dst2src_ack_packets,-7.638083601979595e-05,0.00013752507332105804
dst2src_packets,-8.065912336440162e-05,9.674434728136203e-05
bidirectional_ack_packets,-0.00010117982391872893,6.636917361163984e-05
src2dst_packets,-0.00012014275233106498,0.00025298536685854534
src2dst_fin_packets,-0.00016649373457524596,0.00012419397689628127
bidirectional_fin_packets,-0.00018997647832881271,9.156426433564644e-05
application_confidence,-0.00024271989628965596,0.00010517064398630063
dst2src_bytes,-0.0005073901760745513,0.00036596135994499166
src2dst_min_ps,-0.0005689097091380769,0.0002991461139698715
bidirectional_bytes,-0.0006046712892191608,0.00040083458064309706
bidirectional_min_ps,-0.0009754176320260543,0.000333389752160531
dst2src_mean_ps,-0.0010683084319982993,0.0002730581957776094
bidirectional_max_ps,-0.0010747326188815464,0.0003151764838421591
dst2src_min_ps,-0.0011295561112983688,0.0002795848673618069
bidirectional_mean_ps,-0.0011310009250040443,0.0004620808190168748
src2dst_mean_ps,-0.0011834326337096912,0.00045174978421175547
dst2src_max_ps,-0.0012070827668987816,0.0005850116778593268
bidirectional_stddev_ps,-0.001361186854109364,0.0002862814093209211
application_category_name,-0.001466416219531419,0.000462130672430114
src2dst_max_ps,-0.001597293445286363,0.00028236357941633077
protocol,-0.003324461938943657,0.00037780337809519124
bidirectional_max_piat_ms,-0.008928362521790866,0.0013465515751998004
bidirectional_min_piat_ms,-0.01394113705580512,0.0021242303499048845
bidirectional_duration_ms,-0.017239378656333747,0.0021639810766355843
bidirectional_mean_piat_ms,-0.019474679569576225,0.00195716159593973
