feature_a,feature_b,corr_abs
bidirectional_duration_ms,src2dst_duration_ms,0.9999815200752896
bidirectional_max_piat_ms,src2dst_max_piat_ms,0.9986854303390174
dst2src_packets,dst2src_ack_packets,0.9950360312759813
bidirectional_syn_packets,src2dst_syn_packets,0.9934564111723292
bidirectional_syn_packets,dst2src_syn_packets,0.9930404296794474
bidirectional_min_ps,src2dst_min_ps,0.9905851569559281
bidirectional_cwr_packets,src2dst_cwr_packets,0.9899218154309727
src2dst_cwr_packets,src2dst_ece_packets,0.9856957909265905
src2dst_syn_packets,dst2src_syn_packets,0.9730911934681185
bidirectional_packets,bidirectional_bytes,0.9710802698834589
bidirectional_cwr_packets,src2dst_ece_packets,0.966896013960651
bidirectional_stddev_ps,dst2src_max_ps,0.9627937690964926
bidirectional_bytes,bidirectional_ack_packets,0.9615909629557506
dst2src_min_piat_ms,dst2src_mean_piat_ms,0.9595100867046953
src2dst_min_piat_ms,src2dst_mean_piat_ms,0.9592984870170483
bidirectional_ack_packets,dst2src_ack_packets,0.9574696893850896
bidirectional_ece_packets,src2dst_ece_packets,0.9572766926347638
bidirectional_stddev_ps,bidirectional_max_ps,0.9563266245157749
bidirectional_ack_packets,src2dst_ack_packets,0.9553708599542279
bidirectional_packets,bidirectional_ack_packets,0.9549331054822281
dst2src_stddev_ps,dst2src_max_ps,0.9548099446064534
bidirectional_max_ps,dst2src_max_ps,0.954730316379747
bidirectional_stddev_piat_ms,dst2src_mean_piat_ms,0.9532978962154338
dst2src_packets,bidirectional_ack_packets,0.9527016558669364
src2dst_stddev_ps,src2dst_max_ps,0.9522214520640537
