feature_a,feature_b,corr_abs
dst2src_packets,dst2src_ack_packets,0.9999867601481282
bidirectional_packets,bidirectional_ack_packets,0.9999238996160544
src2dst_packets,src2dst_ack_packets,0.9997104683048353
bidirectional_duration_ms,src2dst_duration_ms,0.9996473581794723
bidirectional_max_piat_ms,src2dst_max_piat_ms,0.9973679928440876
bidirectional_min_ps,src2dst_min_ps,0.9944191296598203
bidirectional_cwr_packets,src2dst_cwr_packets,0.9921607847058704
bidirectional_ack_packets,dst2src_ack_packets,0.9868083209256757
dst2src_packets,bidirectional_ack_packets,0.9867948306824145
bidirectional_packets,dst2src_packets,0.9867451930744557
bidirectional_packets,dst2src_ack_packets,0.9867360856975623
bidirectional_ack_packets,src2dst_ack_packets,0.9841210720060389
bidirectional_packets,src2dst_packets,0.9840477174406775
bidirectional_packets,src2dst_ack_packets,0.984043042942189
src2dst_packets,bidirectional_ack_packets,0.9838360902193036
bidirectional_packets,bidirectional_bytes,0.9771299475528795
bidirectional_bytes,bidirectional_ack_packets,0.9771175580109296
dst2src_stddev_ps,dst2src_max_ps,0.972099843828216
src2dst_cwr_packets,src2dst_ece_packets,0.9714008383693364
bidirectional_bytes,dst2src_packets,0.9700945170875115
bidirectional_bytes,dst2src_ack_packets,0.9700872742423376
bidirectional_cwr_packets,src2dst_ece_packets,0.9595692820297921
bidirectional_bytes,src2dst_ack_packets,0.9551776169290727
bidirectional_bytes,src2dst_packets,0.9550565184076318
