profile,feature,dtype,family,is_model_feature
extended,dst_port,int64,protocol_application,True
extended,protocol,int64,protocol_application,True
extended,bidirectional_duration_ms,int64,timing,True
extended,bidirectional_packets,int64,size_volume,True
extended,bidirectional_bytes,int64,size_volume,True
extended,src2dst_duration_ms,int64,timing,True
extended,src2dst_packets,int64,size_volume,True
extended,src2dst_bytes,int64,size_volume,True
extended,dst2src_duration_ms,int64,timing,True
extended,dst2src_packets,int64,size_volume,True
extended,dst2src_bytes,int64,size_volume,True
extended,bidirectional_min_ps,int64,size_volume,True
extended,bidirectional_mean_ps,float64,size_volume,True
extended,bidirectional_stddev_ps,float64,size_volume,True
extended,bidirectional_max_ps,int64,size_volume,True
extended,src2dst_min_ps,int64,size_volume,True
extended,src2dst_mean_ps,float64,size_volume,True
extended,src2dst_stddev_ps,float64,size_volume,True
extended,src2dst_max_ps,int64,size_volume,True
extended,dst2src_min_ps,int64,size_volume,True
extended,dst2src_mean_ps,float64,size_volume,True
extended,dst2src_stddev_ps,float64,size_volume,True
extended,dst2src_max_ps,int64,size_volume,True
extended,bidirectional_min_piat_ms,int64,timing,True
extended,bidirectional_mean_piat_ms,float64,timing,True
extended,bidirectional_stddev_piat_ms,float64,timing,True
extended,bidirectional_max_piat_ms,int64,timing,True
extended,src2dst_min_piat_ms,int64,timing,True
extended,src2dst_mean_piat_ms,float64,timing,True
extended,src2dst_stddev_piat_ms,float64,timing,True
extended,src2dst_max_piat_ms,int64,timing,True
extended,dst2src_min_piat_ms,int64,timing,True
extended,dst2src_mean_piat_ms,float64,timing,True
extended,dst2src_stddev_piat_ms,float64,timing,True
extended,dst2src_max_piat_ms,int64,timing,True
extended,bidirectional_syn_packets,int64,tcp_flags,True
extended,bidirectional_cwr_packets,int64,tcp_flags,True
extended,bidirectional_ece_packets,int64,tcp_flags,True
extended,bidirectional_ack_packets,int64,tcp_flags,True
extended,bidirectional_psh_packets,int64,tcp_flags,True
extended,bidirectional_rst_packets,int64,tcp_flags,True
extended,bidirectional_fin_packets,int64,tcp_flags,True
extended,src2dst_syn_packets,int64,tcp_flags,True
extended,src2dst_cwr_packets,int64,tcp_flags,True
extended,src2dst_ece_packets,int64,tcp_flags,True
extended,src2dst_ack_packets,int64,tcp_flags,True
extended,src2dst_psh_packets,int64,tcp_flags,True
extended,src2dst_rst_packets,int64,tcp_flags,True
extended,src2dst_fin_packets,int64,tcp_flags,True
extended,dst2src_syn_packets,int64,tcp_flags,True
extended,dst2src_cwr_packets,int64,tcp_flags,True
extended,dst2src_ece_packets,int64,tcp_flags,True
extended,dst2src_ack_packets,int64,tcp_flags,True
extended,dst2src_psh_packets,int64,tcp_flags,True
extended,dst2src_rst_packets,int64,tcp_flags,True
extended,dst2src_fin_packets,int64,tcp_flags,True
extended,application_name,object,protocol_application,True
extended,application_category_name,object,protocol_application,True
extended,application_is_guessed,int64,protocol_application,True
extended,application_confidence,int64,protocol_application,True
extended,requested_server_name,float64,dpi_metadata,True
extended,client_fingerprint,float64,dpi_metadata,True
extended,server_fingerprint,float64,dpi_metadata,True
extended,user_agent,float64,dpi_metadata,True
extended,content_type,float64,dpi_metadata,True
extended,source_file,object,metadata_or_label,False
extended,device,object,metadata_or_label,False
