,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,25905,140,0,1,0,3,0,595,3,704,11704,3423,1,0,305,107,0,1,4361,57,2249,0,229,206,3,3,0,0,0
Android Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belkin Wemo switch,4302,82,4034,2527,0,1,0,5,0,12713,4,98,0,1,0,1088,0,0,14,1607,2093,0,5,2,0,55,0,1,7
Belkin wemo motion sensor,7,381,9688,28151,0,0,1,1,2,5374,375,31,0,0,0,0,3,0,609,1301,4056,11,0,6,2,0,0,0,1
Blipcare Blood Pressure meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,668,0,0,0,0,1092,0,0,1,14,8,46,0,0,34,0,0,749,20,113,59,0,0,79,0,0,0,0,0
HP Printer,0,7,18,3,0,0,2462,17,2,7135,51,84,0,0,0,0,0,0,56,487,1,963,0,93,0,0,0,0,29
IPhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insteon Camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Bulbs LiFX Smart Bulb,46,20,0,0,0,113,0,6,0,20,10962,20,0,0,505,0,0,0,14,0,5810,2,206,212,0,2,0,0,2
MacBook,1,2,0,0,0,0,0,2,0,50,1,205,2,0,1,6,0,0,100,0,3,0,0,1,0,0,0,0,0
MacBook/Iphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST Protect smoke alarm,0,0,0,0,0,0,0,0,0,1,0,0,0,207,0,0,24,0,11,0,0,0,0,9,0,0,0,0,0
Nest Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netatmo Welcome,1,12,0,0,0,0,0,33,0,62,40,43,0,0,565,10846,0,0,126,2,2004,0,0,294,0,0,0,0,12
Netatmo weather station,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,5010,1,0,0,0,0,0,0,0,0,0,0,0
PIX-STAR Photo-frame,0,8,0,0,0,3,0,589,0,27,0,1749,0,0,0,0,0,10514,3,97,0,32,0,0,0,0,0,0,6
Samsung Galaxy Tab,211,1317,0,307,0,0,102,40,4,11174,141,1324,0,1,0,8,1,7,32524,595,19,3,0,2199,0,2,0,0,21
Samsung SmartCam,37,8,0,0,0,29,3,0,0,2789,9,104,0,0,11,3,0,3,22,25489,91,565,4,980,2,0,0,0,6
Smart Things,7,2,0,3,0,2,0,2,0,7679,2970,60,0,0,230,0,0,0,46,1096,13859,0,16,8162,0,0,0,0,0
TP-Link Day Night Cloud camera,1,3,0,0,0,0,0,0,0,7038,1,696,0,0,0,0,0,204,88,30,15,5896,65,10,0,0,47,0,1
TP-Link Smart plug,1,0,0,0,0,3,0,0,0,818,89,209,0,0,63,0,0,460,71,0,173,657,10664,21,0,0,102,0,0
TPLink Router Bridge LAN (Gateway),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triby Speaker,1554,7,1,1,0,0,5,8,58,857,7,3205,25,0,9,14,3,26,5896,7,106,103,144,5004,635,40,0,1,3
Withings Aura smart sleep sensor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart Baby Monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHome,0,0,0,0,0,0,55,0,0,62,0,19,0,0,0,0,7,0,657,1,0,3,0,92,0,0,0,0,1873
