,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,25183,3388,0,0,0,3,0,650,73,1205,11697,3261,1,0,306,379,0,2,1287,60,2251,0,229,11,10,4,0,0,0
Android Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belkin Wemo switch,4624,156,846,45,0,1,0,5,0,13811,15,2669,0,0,0,692,0,0,2011,1603,2094,0,5,6,0,55,0,1,0
Belkin wemo motion sensor,5,25,7454,23686,0,0,1,2,373,5229,0,713,0,0,0,1,0,2,7250,999,4051,11,1,2,27,0,8,0,160
Blipcare Blood Pressure meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,668,2,0,0,0,1042,0,0,1,10,8,115,0,0,33,0,0,3,546,112,56,1,0,124,3,159,0,0,0
HP Printer,0,31,33,3,0,0,2125,17,8,7237,51,148,1,0,0,0,1,25,76,498,0,961,0,50,2,73,0,0,68
IPhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insteon Camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Bulbs LiFX Smart Bulb,46,33,0,0,0,113,0,6,1,959,10101,260,0,0,505,0,1,0,11,0,5470,0,280,151,0,1,0,0,2
MacBook,2,5,0,0,0,0,1,1,0,67,1,148,2,0,1,6,0,0,128,4,4,3,0,1,0,0,0,0,0
MacBook/Iphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST Protect smoke alarm,0,0,17,0,0,0,0,0,0,1,0,0,0,201,0,0,18,0,11,0,0,0,0,4,0,0,0,0,0
Nest Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netatmo Welcome,1,14,0,0,0,0,0,33,2,68,40,44,2,0,565,11032,1,0,166,3,2004,0,0,53,0,0,0,0,12
Netatmo weather station,0,2,1257,0,0,0,0,0,0,77,0,1142,3,0,0,0,2482,0,74,28,0,0,0,0,0,0,0,0,0
PIX-STAR Photo-frame,0,19,0,0,0,3,0,7,0,51,0,1201,0,0,0,0,0,11418,208,97,0,18,0,0,0,0,0,0,6
Samsung Galaxy Tab,164,1807,286,364,0,1,72,40,0,12572,35,1660,3,1,0,8,1,10,29939,131,20,8,0,2873,4,1,0,0,0
Samsung SmartCam,32,24,0,0,0,29,3,2,0,2799,9,102,0,0,11,3,0,3,33,25473,91,565,6,964,0,0,0,0,6
Smart Things,17,2,0,0,0,2,0,2,2,9280,2021,36,0,0,230,0,1,4,20,1092,13165,0,16,8213,0,0,0,31,0
TP-Link Day Night Cloud camera,0,83,0,0,0,0,0,0,0,7393,1,291,0,0,0,0,0,148,79,30,15,5950,51,3,0,0,47,0,4
TP-Link Smart plug,1,244,0,0,0,3,58,0,0,626,89,216,0,0,63,0,0,303,57,0,173,764,10574,57,1,0,102,0,0
TPLink Router Bridge LAN (Gateway),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triby Speaker,1551,38,0,1,0,0,0,317,4,85,7,6683,25,0,708,4,11,54,2552,6,106,1,1,4875,578,106,0,1,5
Withings Aura smart sleep sensor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart Baby Monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHome,0,1,0,0,0,0,0,0,0,165,0,525,0,0,0,0,0,0,53,41,0,3,0,108,0,0,0,0,1873
