,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,23482,857,0,0,0,8,7,6,8,651,14134,458,5574,0,1396,1,0,50,340,77,2321,0,11,38,394,2,1,0,184
Android Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belkin Wemo switch,4622,297,4828,2875,0,0,3,5,0,10424,8,63,1,10,0,548,0,0,1091,1429,2190,0,0,188,0,0,0,1,56
Belkin wemo motion sensor,370,731,22804,14535,0,0,3,69,0,5621,0,738,0,1,13,27,0,0,619,43,4045,12,24,312,32,0,0,0,1
Blipcare Blood Pressure meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,667,43,1,0,0,1689,2,5,9,1,0,79,0,0,43,1,0,101,1,12,64,6,0,0,0,159,0,0,0
HP Printer,11,311,0,0,0,0,2784,6333,14,565,35,14,13,0,0,4,0,9,37,2,0,961,0,92,3,56,0,1,163
IPhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insteon Camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Bulbs LiFX Smart Bulb,22,52,0,0,0,110,0,3,173,1,8624,237,0,0,519,0,0,0,18,0,7979,47,147,4,0,2,0,0,2
MacBook,3,54,0,0,0,0,0,64,0,24,3,85,98,0,1,1,0,3,35,0,1,2,0,0,0,0,0,0,0
MacBook/Iphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST Protect smoke alarm,0,0,0,0,0,0,0,0,0,1,0,0,0,205,0,0,35,0,11,0,0,0,0,0,0,0,0,0,0
Nest Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netatmo Welcome,2,216,3,0,0,0,0,34,0,12,2,1,12,0,565,11072,0,0,65,1,2043,0,0,0,0,0,0,0,12
Netatmo weather station,0,580,5,0,0,0,6,0,0,72,10,670,12,0,0,0,3562,0,120,27,0,0,0,0,0,0,0,0,1
PIX-STAR Photo-frame,0,54,0,0,0,104,0,8,19,21,0,921,0,0,0,0,0,11867,2,0,0,24,0,0,0,1,1,0,6
Samsung Galaxy Tab,244,9129,12,905,0,9,70,1801,0,11105,132,457,828,8,0,33,0,1694,22077,111,18,5,0,964,23,29,0,0,346
Samsung SmartCam,40,49,0,0,0,105,3,2401,0,427,1,0,3,0,40,0,0,0,45,25266,100,678,0,987,0,4,0,0,6
Smart Things,715,21,0,0,0,3,0,4,5,16028,812,51,0,0,235,0,1,4,42,1092,15067,1,2,0,0,0,0,51,0
TP-Link Day Night Cloud camera,5,669,0,0,0,0,1,6870,0,26,1,85,32,0,0,34,0,189,34,1,15,5897,64,0,10,14,49,0,99
TP-Link Smart plug,0,489,0,0,0,3,0,57,0,309,162,5,0,0,158,14,0,407,1,0,231,710,10605,18,51,3,108,0,0
TPLink Router Bridge LAN (Gateway),5331,235,22,15,0,0,6,12,9,1112,16817,22901,1567,1,12,11,0,22,485,104,23,2,2,314,992,1,1,0,3
Triby Speaker,1531,5597,0,0,0,0,43,25,61,79,21,10,1561,0,1984,33,10,56,4358,30,112,57,0,10,2018,2,37,2,82
Withings Aura smart sleep sensor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart Baby Monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHome,0,8,2,0,0,0,2,0,0,585,1,3,2,1,0,5,0,0,41,0,0,33,0,3,0,0,0,0,2083
