,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,39669,339,5,32,0,51,2,0,4,3494,1552,705,22,0,0,6,382,1,2940,16,434,0,151,187,7,1,0,0,0
Android Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belkin Wemo switch,109,36,5449,9737,0,0,52,5,15,8744,10,170,0,1,0,849,0,0,17,1349,2078,2,12,1,0,3,0,0,0
Belkin wemo motion sensor,4124,239,15136,14256,0,0,18,0,41,5869,0,385,0,0,0,805,11,79,2539,6436,0,1,0,1,13,6,8,0,33
Blipcare Blood Pressure meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,550,17,0,0,0,1154,529,0,2,143,2,253,0,0,29,18,1,4,7,11,48,89,0,5,0,19,0,0,2
HP Printer,8,6317,9,0,0,0,3959,10,20,777,64,75,0,0,0,15,0,8,44,9,0,8,0,73,1,9,1,0,1
IPhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insteon Camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Bulbs LiFX Smart Bulb,308,128,1,0,0,110,1,0,776,792,9296,288,110,0,0,2391,1,0,42,0,3242,7,231,216,0,0,0,0,0
MacBook,7,19,0,0,0,0,0,5,0,43,0,256,0,0,0,6,0,0,35,0,1,0,0,1,0,0,0,1,0
MacBook/Iphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST Protect smoke alarm,0,0,0,0,0,0,0,0,2,9,0,0,0,191,0,0,33,0,14,0,0,0,0,0,0,0,0,3,0
Nest Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netatmo Welcome,111,35,0,0,0,0,0,19,10,35,21,294,0,0,0,11862,1,15,187,1,1449,0,0,0,0,0,0,0,0
Netatmo weather station,0,5,2,5,0,0,0,0,13,2,0,1215,0,0,0,3,3469,0,54,277,0,0,0,2,0,0,0,0,18
PIX-STAR Photo-frame,2,17,0,0,0,98,0,7,1,36,1,823,0,0,0,7,0,11997,16,0,0,23,0,0,0,0,0,0,0
Samsung Galaxy Tab,705,4636,28,2255,1,3,84,55,529,10341,61,1821,25,1,0,261,21,30,26428,97,184,41,2,1855,20,31,443,0,42
Samsung SmartCam,222,2366,3138,3,0,95,488,2,0,414,3,101,1,0,0,59,22,11,34,21036,47,12,3,962,0,1135,0,0,1
Smart Things,190,27,0,0,0,0,0,0,3,8593,2067,399,0,0,0,6403,1,0,36,1093,14996,0,23,22,0,281,0,0,0
TP-Link Day Night Cloud camera,278,6877,2,1,0,0,1365,0,36,573,2,683,0,0,0,9,1,190,195,3,6,3657,67,6,3,0,47,0,94
TP-Link Smart plug,67,128,0,0,0,3,0,0,0,585,71,110,0,0,0,23,0,408,0,0,161,710,10943,19,1,0,102,0,0
TPLink Router Bridge LAN (Gateway),265,126,27,109,0,0,10,59,28,2241,16677,27946,39,0,0,11,3,1,1800,64,21,0,13,546,0,11,0,0,3
Triby Speaker,997,202,2,3,0,0,82,8,55,7093,32,2598,6,0,0,373,3,53,5409,12,49,13,0,162,547,4,8,0,8
Withings Aura smart sleep sensor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart Baby Monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHome,1,5,0,3,0,635,35,0,0,662,0,38,0,3,0,3,5,0,40,3,0,1,0,123,0,0,0,0,1212
