,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,25748,2873,0,0,0,3,0,597,3,520,11698,3875,1,0,308,529,0,1,1105,59,2250,0,229,197,1,3,0,0,0
Android Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belkin Wemo switch,4294,82,4618,2488,0,1,0,5,0,12163,15,83,0,0,0,1096,0,0,8,1620,2094,0,5,11,0,55,0,1,0
Belkin wemo motion sensor,5,303,9922,27332,0,0,1,0,2,5337,0,102,0,0,0,0,6,0,1257,1265,4045,11,377,5,29,0,0,0,1
Blipcare Blood Pressure meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,669,7,0,0,0,1096,0,0,1,10,8,113,0,0,30,0,0,530,19,112,56,0,0,70,3,159,0,0,0
HP Printer,0,7,18,3,0,0,2325,17,5,7121,51,103,0,0,0,0,0,8,53,499,0,961,0,95,1,112,0,0,29
IPhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insteon Camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Bulbs LiFX Smart Bulb,46,33,0,0,0,113,0,6,0,1020,10027,253,0,0,505,0,1,0,13,0,5476,2,280,161,0,2,0,0,2
MacBook,1,3,0,0,0,0,0,1,0,43,1,198,2,0,1,6,0,0,108,2,3,3,0,2,0,0,0,0,0
MacBook/Iphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST Protect smoke alarm,0,0,4,0,0,0,0,0,0,1,0,0,0,205,0,0,24,0,11,0,0,0,0,7,0,0,0,0,0
Nest Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netatmo Welcome,1,12,0,0,0,0,0,33,0,72,40,45,2,0,565,10815,0,0,190,3,2004,0,0,246,0,0,0,0,12
Netatmo weather station,0,3,0,0,0,0,0,0,1,13,0,1152,0,0,0,0,3845,0,51,0,0,0,0,0,0,0,0,0,0
PIX-STAR Photo-frame,0,23,0,0,0,3,0,7,0,27,0,826,0,0,0,0,0,11558,454,97,0,27,0,0,0,0,0,0,6
Samsung Galaxy Tab,210,3823,1,401,0,1,103,40,3,13090,152,1608,0,1,0,10,0,10,27902,606,20,8,0,1998,0,2,0,0,11
Samsung SmartCam,35,23,0,0,0,29,3,0,0,2798,9,110,0,0,11,3,0,3,18,25482,91,565,4,962,3,0,0,0,6
Smart Things,7,2,0,3,0,2,0,2,3,8982,2017,45,0,0,230,0,1,5,169,1092,13333,0,16,8194,0,0,0,31,0
TP-Link Day Night Cloud camera,0,19,0,0,0,0,0,0,33,7002,1,692,0,0,0,0,1,148,44,31,15,5984,66,11,0,0,47,0,1
TP-Link Smart plug,1,0,0,0,0,3,0,0,0,801,89,28,0,0,63,0,0,310,57,0,173,807,10871,19,1,0,108,0,0
TPLink Router Bridge LAN (Gateway),6026,14,16,19,0,0,2,3,2,1561,16771,16811,5,0,3,14,3,0,7836,340,27,2,10,456,0,14,63,0,2
Triby Speaker,1539,14,1,1,0,0,16,4,58,99,7,6630,25,0,9,12,31,52,3617,11,106,131,74,4605,562,108,3,1,3
Withings Aura smart sleep sensor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart Baby Monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHome,0,0,0,0,0,0,1,0,0,324,0,546,0,0,0,0,3,0,47,34,0,3,0,105,0,0,0,0,1706
